dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,54.0,6.0,13.0,2.0,3,0.5,1.0,1.0,288233,0.03059217323333331,0.0007868945755555568
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.5,-,0.0,19296875,0.6618547727615348,0.0005617878248423777
ambari,3.0,6.0,1.0,2.0,3,0.5,1.0,0.5666666666666667,26813,0.0077154440500004345,0.0013535391944444872
hadoop,244.0,2387.0,61.0,597.0,3,0.5,0.9085529380825643,0.7224043715846995,23681035,0.9085358379899756,0.0006252208674924362
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.5,0.0,0.0,74891004,1.8888772011711867,0.0007093060993471426
jimfs,6.0,358.0,1.0,90.0,3,0.5,0.74,0.8,2479075,0.13883612886666327,0.0006187157271062203
ninja,14.0,750.0,4.0,187.0,3,0.5,0.6674055829228243,0.5083333333333333,5829555,0.3790963254333354,0.0008236031322862182
okhttp,53.0,1185.0,13.0,297.0,3,0.5,0.8796621896621898,0.4871794871794872,10117963,0.4643034811051662,0.000629093922456444
oozie,685.0,251.0,171.0,63.0,3,0.5,0.9990298744276713,0.9976608187134502,7347835,0.4015033663666647,0.0006639724683760675
oryx,10.0,298.0,3.0,74.0,3,0.5,0.5877192982456142,0.17777777777777773,2039195,0.11542294380000158,0.0005910213484848341
spring-boot,11.0,5445.0,3.0,1362.0,3,0.5,1.0,0.6111111111111109,53531443,1.6071913798249746,0.0006880664632295699
togglz,9.0,309.0,2.0,78.0,3,0.5,0.041666666666666664,0.03333333333333333,2120779,0.1257108115525985,0.00063342739850923
wro4j,8.0,802.0,2.0,201.0,3,0.5,0.0,0.0,6232211,0.3537361712782094,0.0006973183419792162
achilles,54.0,6.0,13.0,2.0,3,0.95,1.0,1.0,288233,0.03479125529999341,0.0008540109111110419
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.95,-,0.0,19296875,0.6496811856134824,0.0006119906968181775
ambari,3.0,6.0,1.0,2.0,3,0.95,-,0.0,26813,0.007368197383331676,0.001383432383332995
hadoop,244.0,2387.0,61.0,597.0,3,0.95,0.9907413283883871,0.5349726775956285,23681035,1.004081395809819,0.0006724672343315808
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.95,-,0.0,74891004,1.8607116214821096,0.0008207760184198125
jimfs,6.0,358.0,1.0,90.0,3,0.95,1.0,0.5,2479075,0.15742525109999123,0.0006631219032966698
ninja,14.0,750.0,4.0,187.0,3,0.95,0.95679012345679,0.35833333333333334,5829555,0.2568186134999926,0.0005709518856893312
okhttp,53.0,1185.0,13.0,297.0,3,0.95,1.0,0.29230769230769227,10117963,0.4811410571940509,0.0006221488969008823
